Pers.no.,Action Type,Reason for Action,Company Code,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date
10000012,Rehire,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1160,NZ Inspect,Finished Products A Shift,8/05/2017,9/07/2017,,Multi-Skilled Operator Trainee,8/05/2017
10000066,Rehire,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1210,NZ Mould Repairs,Forming Services,26/04/2016,31/07/2016,,Forming Services Fitter,26/04/2016
10000081,Rehire,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming C Shift,10/10/2014,4/12/2014,,Bottle Machine Op Grade 1 (Temp),10/10/2014
10000082,Rehire,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1260,NZ Plant Engineering,Engineering,29/02/2016,31/03/2016,,Temporary Maintenance Engineer,29/02/2016
10000093,Rehire,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming B Shift,22/11/2013,2/08/2014,,Bottle Machine Operator Grade 2,9/10/2012
10000093,Rehire,Fill temporary absence,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1130,NZ Forming,Forming D Shift,23/09/2015,31/07/2016,,Bottle Machine Operator Grade 2 (Temp),9/10/2012
10000094,Rehire,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Shift Glass,1160,NZ Inspect,Finished Products C Shift,10/04/2017,15/07/2017,,Multi-Skilled Operator Trainee,10/04/2017
10000187,Rehire,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1310,NZ Non Operating,Administration,6/04/2009,12/06/2018,,Project Manager,3/09/1986
10000187,Rehire,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1310,NZ Non Operating,Administration,6/04/2009,12/06/2018,Manufacturing & Engineering,Project Manager,3/09/1986
10000277,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1260,NZ Plant Engineering,Engineering,15/02/2001,31/12/9999,,Plant Services Engineer,15/02/2001
10000277,Hire Employee,Fill vacancy,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1260,NZ Plant Engineering,Engineering,15/02/2001,31/12/9999,Manufacturing & Engineering,Plant Services Engineer,15/02/2001
10000299,Rehire,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1190,NZ Resort,Temporary Resort,3/06/2014,2/08/2014,,Temporary Resorter,11/06/2010
10000299,Rehire,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Day Glass,1190,NZ Resort,Temporary Resort,5/01/2015,1/08/2015,,Temporary Resorter,11/06/2010
10000313,Hire Employee,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1310,NZ Non Operating,Administration,1/01/2002,28/02/2018,,Business Information Manager - Info Tech,17/04/1990
10000313,Hire Employee,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Staff,New Zealand Day,1310,NZ Non Operating,Administration,1/01/2002,28/02/2018,Strategy & Integration,PTP Manufacturing Business Lead,17/04/1990
10000434,Rehire,No reason specified,1010,ACI Operations NZ Limited,Auckland - GPNZ - Wages,Wages Other,1235,NZ Maint - Elec Insp,Electrical Inspection,16/04/2018,4/05/2018,Manufacturing & Engineering,Electrician,4/12/2006
